period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2019,SC,South Carolina,4349060,,80205620,80205620,megawatthours,megawatthours,megawatthours,megawatthours
2019,RI,Rhode Island,398541,2428,4020565,7349915,megawatthours,megawatthours,megawatthours,megawatthours
2019,PA,Pennsylvania,7893934,43571,50523010,145580383,megawatthours,megawatthours,megawatthours,megawatthours
2019,OR,Oregon,2733122,3848,47728372,50404386,megawatthours,megawatthours,megawatthours,megawatthours
2019,OK,Oklahoma,3513488,0,64795946,64795946,megawatthours,megawatthours,megawatthours,megawatthours
2019,OH,Ohio,8053436,220644,45384477,148521920,megawatthours,megawatthours,megawatthours,megawatthours
2019,NY,New York,7895016,765904,72334007,145600345,megawatthours,megawatthours,megawatthours,megawatthours
2019,NV,Nevada,2005329,109163,32328433,36982386,megawatthours,megawatthours,megawatthours,megawatthours
2019,NM,New Mexico,1349098,23179,24856955,24880134,megawatthours,megawatthours,megawatthours,megawatthours
2019,NJ,New Jersey,4008051,575748,39867842,73916704,megawatthours,megawatthours,megawatthours,megawatthours
2019,NH,New Hampshire,580828,,5281168,10711657,megawatthours,megawatthours,megawatthours,megawatthours
2019,NE,Nebraska,1647495,2913,30380277,30383190,megawatthours,megawatthours,megawatthours,megawatthours
2019,ND,North Dakota,1169027,,21559255,21559255,megawatthours,megawatthours,megawatthours,megawatthours
2019,NC,North Carolina,7398065,5039,136430492,136435531,megawatthours,megawatthours,megawatthours,megawatthours
2019,MT,Montana,830779,,11930006,15321271,megawatthours,megawatthours,megawatthours,megawatthours
2019,MS,Mississippi,2654315,5325,48945701,48951026,megawatthours,megawatthours,megawatthours,megawatthours
2019,MO,Missouri,4275975,,78857775,78857775,megawatthours,megawatthours,megawatthours,megawatthours
2019,MN,Minnesota,3631135,803334,66162260,66965594,megawatthours,megawatthours,megawatthours,megawatthours
2019,MI,Michigan,5490130,415876,91921848,101249293,megawatthours,megawatthours,megawatthours,megawatthours
2019,ME,Maine,636157,110754,6405730,11732040,megawatthours,megawatthours,megawatthours,megawatthours
2019,MD,Maryland,3292510,125486,29997242,60720658,megawatthours,megawatthours,megawatthours,megawatthours
2019,MA,Massachusetts,2783670,450543,20475404,51336598,megawatthours,megawatthours,megawatthours,megawatthours
2019,LA,Louisiana,5049790,,93128525,93128525,megawatthours,megawatthours,megawatthours,megawatthours
2019,KY,Kentucky,4085519,128106,75217276,75345382,megawatthours,megawatthours,megawatthours,megawatthours
2019,KS,Kansas,2231835,,41159628,41159628,megawatthours,megawatthours,megawatthours,megawatthours
2019,IN,Indiana,5536487,22703,102081500,102104203,megawatthours,megawatthours,megawatthours,megawatthours
2019,IL,Illinois,7500220,473522,49968979,138319481,megawatthours,megawatthours,megawatthours,megawatthours
2019,ID,Idaho,1300575,,23985275,23985275,megawatthours,megawatthours,megawatthours,megawatthours
2019,IA,Iowa,2767758,98458,50944690,51043148,megawatthours,megawatthours,megawatthours,megawatthours
2019,HI,Hawaii,512572,68254,9384633,9452887,megawatthours,megawatthours,megawatthours,megawatthours
