period,state,stateDescription,estimated-losses,facility-direct,full-service-providers,total-elect-indust,estimated-losses-units,facility-direct-units,full-service-providers-units,total-elect-indust-units
2010,GA,Georgia,8690376,,140671580,140671580,megawatthours,megawatthours,megawatthours,megawatthours
2010,HI,Hawaii,618798,3405,10013104,10016509,megawatthours,megawatthours,megawatthours,megawatthours
2010,IA,Iowa,2807507,0,45445269,45445269,megawatthours,megawatthours,megawatthours,megawatthours
2010,ID,Idaho,1408389,109990,22687678,22797668,megawatthours,megawatthours,megawatthours,megawatthours
2010,IL,Illinois,8942991,464639,77425893,144760674,megawatthours,megawatthours,megawatthours,megawatthours
2010,IN,Indiana,6548096,290720,105703656,105994376,megawatthours,megawatthours,megawatthours,megawatthours
2010,KS,Kansas,2497099,0,40420675,40420675,megawatthours,megawatthours,megawatthours,megawatthours
2010,KY,Kentucky,5780510,,93569426,93569426,megawatthours,megawatthours,megawatthours,megawatthours
2010,LA,Louisiana,5256033,,85079692,85079692,megawatthours,megawatthours,megawatthours,megawatthours
2010,MA,Massachusetts,3528957,310740,31512202,57123422,megawatthours,megawatthours,megawatthours,megawatthours
2010,MD,Maryland,4036281,,36082473,65335498,megawatthours,megawatthours,megawatthours,megawatthours
2010,ME,Maine,712395,0,151588,11531568,megawatthours,megawatthours,megawatthours,megawatthours
2010,MI,Michigan,6403217,484,94564763,103649219,megawatthours,megawatthours,megawatthours,megawatthours
2010,NV,Nevada,2086395,31617,32317262,33772595,megawatthours,megawatthours,megawatthours,megawatthours
2010,NY,New York,8934521,232561,78887208,144623573,megawatthours,megawatthours,megawatthours,megawatthours
2010,OH,Ohio,9522759,152811,105176986,154145418,megawatthours,megawatthours,megawatthours,megawatthours
2010,OK,Oklahoma,3573595,,57845980,57845980,megawatthours,megawatthours,megawatthours,megawatthours
2010,OR,Oregon,2843380,0,44525865,46025945,megawatthours,megawatthours,megawatthours,megawatthours
2010,PA,Pennsylvania,9202661,,114787417,148963968,megawatthours,megawatthours,megawatthours,megawatthours
2010,RI,Rhode Island,481819,,5351848,7799227,megawatthours,megawatthours,megawatthours,megawatthours
2010,SC,South Carolina,5095386,,82479293,82479293,megawatthours,megawatthours,megawatthours,megawatthours
2010,SD,South Dakota,701558,,11356149,11356149,megawatthours,megawatthours,megawatthours,megawatthours
2010,MN,Minnesota,4188514,764977,67034729,67799706,megawatthours,megawatthours,megawatthours,megawatthours
2010,TN,Tennessee,6395329,107000,103414537,103521537,megawatthours,megawatthours,megawatthours,megawatthours
2010,TX,Texas,22144706,5870581,352586969,358457550,megawatthours,megawatthours,megawatthours,megawatthours
2010,WV,West Virginia,1978853,,32031803,32031803,megawatthours,megawatthours,megawatthours,megawatthours
2010,WY,Wyoming,1057231,,17113458,17113458,megawatthours,megawatthours,megawatthours,megawatthours
2010,US,United States,231965709,10225964,3365337951,3754841368,megawatthours,megawatthours,megawatthours,megawatthours
2010,UT,Utah,1732496,,28044001,28044001,megawatthours,megawatthours,megawatthours,megawatthours
2010,VA,Virginia,7030689,,113806135,113806135,megawatthours,megawatthours,megawatthours,megawatthours
2010,VT,Vermont,345636,,5594833,5594833,megawatthours,megawatthours,megawatthours,megawatthours
2010,WA,Washington,5583473,,88116958,90379970,megawatthours,megawatthours,megawatthours,megawatthours
2010,MS,Mississippi,3069562,,49687166,49687166,megawatthours,megawatthours,megawatthours,megawatthours
